Player,Position,Team,Birthday,InjuryStatus
Jeff Green,PF,DEN,1986/08/28,Out
Bones Hyland,PG,DEN,2000/09/14,Out
Nikola Jokic,C,DEN,1995/02/19,Healthy
DeAndre Jordan,C,DEN,1988/07/21,Healthy
Jamal Murray,PG,DEN,1997/02/23,Healthy
Zeke Nnaji,PF,DEN,2001/01/09,Healthy
Michael Porter Jr.,SF,DEN,1998/06/29,Out
Davon Reed,SG,DEN,1995/06/11,Healthy
Ish Smith,PG,DEN,1988/07/05,Healthy
Peyton Watson,F,DEN,2002/09/11,Healthy
Jack White,F,DEN,1997/08/05,Healthy
Marvin Bagley III,PF,DET,1999/03/14,Healthy
Saddiq Bey,SF,DET,1999/04/09,Healthy
Buddy Boeheim,G,DET,1999/11/11,Healthy
Bojan Bogdanovic,SF,DET,1989/04/18,Healthy
Alec Burks,SG,DET,1991/07/20,Healthy
Cade Cunningham,PG,DET,2001/09/25,Out
Hamidou Diallo,SG,DET,1998/07/31,Healthy
Jalen Duren,C,DET,2003/11/18,Healthy
Killian Hayes,PG,DET,2001/07/27,Healthy
Jaden Ivey,PG,DET,2002/02/13,Out
Cory Joseph,PG,DET,1991/08/20,Healthy
Braxton Key,G,DET,1997/02/14,Healthy
Kevin Knox II,SF,DET,1999/08/11,Healthy
Isaiah Livers,PF,DET,1998/07/27,Healthy
Rodney McGruder,G,DET,1991/07/29,Healthy
Nerlens Noel,C,DET,1994/04/10,Out
Isaiah Stewart,C,DET,2001/05/22,Healthy
Patrick Baldwin Jr.,F,GS,2002/11/18,Healthy
Stephen Curry,PG,GS,1988/03/14,Healthy
Donte DiVincenzo,SG,GS,1997/01/31,Healthy
Draymond Green,PF,GS,1990/03/04,Healthy
JaMychal Green,F,GS,1990/06/21,Healthy
Andre Iguodala,F,GS,1984/01/28,Out
Ty Jerome,SG,GS,1997/07/08,Healthy
Jonathan Kuminga,PF,GS,2002/10/06,Healthy
Anthony Lamb,F,GS,1998/01/20,Healthy
Kevon Looney,C,GS,1996/02/06,Healthy
Moses Moody,SG,GS,2002/05/31,Healthy
Jordan Poole,SG,GS,1999/06/19,Healthy
Ryan Rollins,G,GS,2002/07/03,Healthy
Klay Thompson,SG,GS,1990/02/08,Healthy
Andrew Wiggins,SF,GS,1995/02/23,Healthy
James Wiseman,C,GS,2001/03/31,Healthy
Josh Christopher,SG,HOU,2001/12/08,Healthy
Darius Days,F,HOU,1999/10/20,Healthy
Tari Eason,F,HOU,2001/05/10,Healthy
Bruno Fernando,PF,HOU,1998/08/15,Healthy
Usman Garuba,PF,HOU,2002/03/09,Healthy
Eric Gordon,SG,HOU,1988/12/25,Healthy
Jalen Green,SG,HOU,2002/02/09,Healthy
Trevor Hudgins,G,HOU,1999/03/23,Healthy
Boban Marjanovic,C,HOU,1988/08/15,Healthy
Kenyon Martin Jr.,F,HOU,2001/01/06,Healthy
Garrison Mathews,SG,HOU,1996/10/24,Healthy
Daishen Nix,SG,HOU,2002/02/13,Healthy
Kevin Porter Jr.,SG,HOU,2000/05/04,Healthy
Alperen Sengun,C,HOU,2002/07/25,Healthy
Jabari Smith Jr.,PF,HOU,2003/05/13,Healthy
Jae'Sean Tate,SF,HOU,1995/10/28,Out
TyTy Washington Jr.,G,HOU,2001/11/15,Healthy
Goga Bitadze,C,IND,1999/07/20,Healthy
Oshae Brissett,SF,IND,1998/06/20,Healthy
Kendall Brown,SG,IND,2003/05/11,Healthy
Chris Duarte,SG,IND,1997/06/13,Out
Tyrese Haliburton,PG,IND,2000/02/29,Healthy
Buddy Hield,SG,IND,1992/12/17,Healthy
Isaiah Jackson,SF,IND,2002/01/10,Healthy
James Johnson,PF,IND,1987/02/20,Healthy
Bennedict Mathurin,SG,IND,2002/06/19,Healthy
T.J. McConnell,PG,IND,1992/03/25,Healthy
Andrew Nembhard,PG,IND,2000/01/16,Healthy
Aaron Nesmith,SF,IND,1999/10/16,Healthy
Trevelin Queen,SG,IND,1997/02/25,Healthy
Jalen Smith,PF,IND,2000/03/16,Healthy
Terry Taylor,SF,IND,1999/09/23,Healthy
Daniel Theis,C,IND,1992/04/04,Out
Myles Turner,C,IND,1996/03/24,Healthy
Nicolas Batum,PF,LAC,1988/12/14,Healthy
Brandon Boston Jr.,SG,LAC,2001/11/28,Healthy
Moses Brown,C,LAC,1999/10/13,Healthy
Amir Coffey,SG,LAC,1997/06/17,Healthy
Robert Covington,PF,LAC,1990/12/14,Healthy
Moussa Diabate,F,LAC,2002/01/21,Healthy
Paul George,SG,LAC,1990/05/02,Out
Reggie Jackson,PG,LAC,1990/04/16,Healthy
Luke Kennard,SG,LAC,1996/06/24,Out
Kawhi Leonard,SF,LAC,1991/06/29,Out
Terance Mann,SG,LAC,1996/10/18,Healthy
Marcus Morris Sr.,SF,LAC,1989/09/02,Healthy
Norman Powell,SF,LAC,1993/05/25,Healthy
Jason Preston,PG,LAC,1999/08/10,Healthy
John Wall,PG,LAC,1990/09/06,Out
Ivica Zubac,C,LAC,1997/03/18,Healthy
Patrick Beverley,PG,LAL,1988/07/12,Healthy
Troy Brown Jr.,SF,LAL,1999/07/28,Healthy
Thomas Bryant,C,LAL,1997/07/31,Healthy
Max Christie,G,LAL,2003/02/10,Healthy
Anthony Davis,PF,LAL,1993/03/11,Healthy
Wenyen Gabriel,F,LAL,1997/03/26,Healthy
LeBron James,SF,LAL,1984/12/30,Healthy
Damian Jones,C,LAL,1995/06/30,Healthy
Kendrick Nunn,G,LAL,1995/08/03,Healthy
Scotty Pippen Jr.,G,LAL,2000/11/10,Healthy
Austin Reaves,SG,LAL,1998/05/29,Healthy
Matt Ryan,F,LAL,1997/04/17,Healthy
Dennis Schroder,PG,LAL,1993/09/15,Healthy
Cole Swider,F,LAL,1999/05/08,Out
Juan Toscano-Anderson,SF,LAL,1993/04/10,Healthy
Lonnie Walker IV,G,LAL,1998/12/14,Healthy
