Player,Position,Team,Birthday,InjuryStatus
Connor Mackey,D,CGY,1996/09/12,Healthy
Michael Stone,D,CGY,1990/06/07,Healthy
Chris Tanev,D,CGY,1989/12/20,Healthy
MacKenzie Weegar,D,CGY,1994/01/07,Healthy
Nikita Zadorov,D,CGY,1995/04/16,Healthy
Jacob Markstrom,G,CGY,1990/01/31,Healthy
Dan Vladar,G,CGY,1997/08/20,Healthy
Sebastian Aho,C,CAR,1997/07/26,Healthy
Jack Drury,C,CAR,2000/02/03,Healthy
Seth Jarvis,C,CAR,2002/02/01,Healthy
Jesperi Kotkaniemi,C,CAR,2000/07/06,Healthy
Martin Necas,C,CAR,1999/01/15,Healthy
Jordan Staal,C,CAR,1988/09/10,Healthy
Paul Stastny,C,CAR,1985/12/27,Healthy
Derek Stepan,C,CAR,1990/06/18,Healthy
Jordan Martinook,LW,CAR,1992/07/25,Healthy
Jesper Fast,RW,CAR,1991/12/02,Healthy
Stefan Noesen,RW,CAR,1993/02/12,Healthy
Andrei Svechnikov,RW,CAR,2000/03/26,Healthy
Teuvo Teravainen,RW,CAR,1994/09/11,Injured Reserve
Brent Burns,D,CAR,1985/03/09,Healthy
Jalen Chatfield,D,CAR,1996/05/15,Healthy
Dylan Coghlan,D,CAR,1998/02/19,Healthy
Calvin de Haan,D,CAR,1991/05/09,Healthy
Brett Pesce,D,CAR,1994/11/15,Healthy
Brady Skjei,D,CAR,1994/03/26,Healthy
Jaccob Slavin,D,CAR,1994/05/01,Healthy
Frederik Andersen,G,CAR,1989/10/02,Injured Reserve
Pyotr Kochetkov,G,CAR,1999/06/25,Healthy
Antti Raanta,G,CAR,1989/05/12,Healthy
Andreas Athanasiou,C,CHI,1994/08/06,Healthy
Colin Blackwell,C,CHI,1993/03/28,Healthy
Jason Dickinson,C,CHI,1995/07/04,Healthy
Max Domi,C,CHI,1995/03/02,Healthy
Reese Johnson,C,CHI,1998/07/10,Healthy
Tyler Johnson,C,CHI,1990/07/29,Injured Reserve
Jujhar Khaira,C,CHI,1994/08/13,Healthy
Sam Lafferty,C,CHI,1995/03/06,Out
Jonathan Toews,C,CHI,1988/04/29,Healthy
Boris Katchouk,LW,CHI,1998/06/18,Healthy
Philipp Kurashev,LW,CHI,1999/10/12,Healthy
MacKenzie Entwistle,RW,CHI,1999/07/14,Healthy
Patrick Kane,RW,CHI,1988/11/19,Healthy
Taylor Raddysh,RW,CHI,1998/02/18,Healthy
Jack Johnson,D,CHI,1987/01/13,Healthy
Caleb Jones,D,CHI,1997/06/06,Healthy
Seth Jones,D,CHI,1994/10/03,Healthy
Jake McCabe,D,CHI,1993/10/12,Healthy
Ian Mitchell,D,CHI,1999/01/18,Healthy
Connor Murphy,D,CHI,1993/03/26,Healthy
Filip Roos,D,CHI,1999/01/05,Healthy
Jarred Tinordi,D,CHI,1992/02/20,Out
Petr Mrazek,G,CHI,1992/02/14,Healthy
Arvid Soderblom,G,CHI,1999/08/19,Healthy
Alex Stalock,G,CHI,1987/07/28,Injured Reserve
Shane Bowers,C,COL,1999/07/30,Injured Reserve
Andrew Cogliano,C,COL,1987/06/14,Healthy
Jean-Luc Foudy,C,COL,2002/05/13,Healthy
Alex Galchenyuk,C,COL,1994/02/12,Healthy
Nathan MacKinnon,C,COL,1995/09/01,Healthy
Jayson Megna,C,COL,1990/02/01,Healthy
Alex Newhook,C,COL,2001/01/28,Healthy
Evan Rodrigues,C,COL,1993/07/28,Out
Anton Blidh,LW,COL,1995/03/14,Healthy
J.T. Compher,LW,COL,1995/04/08,Healthy
Andreas Englund,LW,COL,1996/01/21,Healthy
Dryden Hunt,LW,COL,1995/11/24,Healthy
Artturi Lehkonen,LW,COL,1995/07/04,Healthy
Mikhail Maltsev,LW,COL,1998/03/12,Healthy
Sampo Ranta,LW,COL,2000/05/31,Healthy
Martin Kaut,RW,COL,1999/10/02,Out
Valeri Nichushkin,RW,COL,1995/03/04,Injured Reserve
Logan O'Connor,RW,COL,1996/08/14,Healthy
Oskar Olausson,RW,COL,2002/11/10,Healthy
Mikko Rantanen,RW,COL,1996/10/29,Healthy
Bowen Byram,D,COL,2001/06/13,Out
Samuel Girard,D,COL,1998/05/12,Healthy
Erik Johnson,D,COL,1988/03/21,Healthy
Kurtis MacDermid,D,COL,1994/03/25,Out
Jacob MacDonald,D,COL,1993/02/26,Healthy
Cale Makar,D,COL,1998/10/30,Healthy
Josh Manson,D,COL,1991/10/07,Healthy
Devon Toews,D,COL,1994/02/21,Healthy
Justus Annunen,G,COL,2000/03/11,Healthy
Pavel Francouz,G,COL,1990/06/03,Healthy
Alexandar Georgiev,G,COL,1996/02/10,Healthy
Liam Foudy,C,CBJ,2000/02/04,Healthy
Boone Jenner,C,CBJ,1993/06/15,Healthy
Kent Johnson,C,CBJ,2002/10/18,Healthy
Sean Kuraly,C,CBJ,1993/01/20,Healthy
Jack Roslovic,C,CBJ,1997/01/29,Healthy
Cole Sillinger,C,CBJ,2003/05/16,Healthy
Johnny Gaudreau,LW,CBJ,1993/08/13,Healthy
Gustav Nyquist,LW,CBJ,1989/09/01,Healthy
Eric Robinson,LW,CBJ,1995/06/14,Healthy
Yegor Chinakhov,RW,CBJ,2001/02/01,Healthy
Trey Fix-Wolansky,RW,CBJ,1998/06/24,Healthy
Carson Meyer,RW,CBJ,1997/08/18,Healthy
Mathieu Olivier,RW,CBJ,1997/02/11,Healthy
Gavin Bayreuther,D,CBJ,1994/05/12,Healthy
Tim Berni,D,CBJ,2000/02/11,Healthy
Marcus Bjork,D,CBJ,1997/11/24,Healthy
Jake Christiansen,D,CBJ,1999/09/12,Healthy
Vladislav Gavrikov,D,CBJ,1995/11/21,Healthy
Erik Gudbranson,D,CBJ,1992/01/07,Healthy
David Jiricek,D,CBJ,2003/11/28,Healthy
Andrew Peeke,D,CBJ,1998/03/17,Healthy
Joonas Korpisalo,G,CBJ,1994/04/28,Healthy
Daniil Tarasov,G,CBJ,1999/05/27,Healthy
Ty Dellandrea,C,DAL,2000/07/21,Healthy
Radek Faksa,C,DAL,1994/01/09,Healthy
Luke Glendening,C,DAL,1989/04/28,Healthy
Roope Hintz,C,DAL,1996/11/17,Healthy
Wyatt Johnston,C,DAL,2003/05/14,Healthy
Joe Pavelski,C,DAL,1984/07/11,Healthy
Jacob Peterson,C,DAL,1999/07/19,Healthy
Tyler Seguin,C,DAL,1992/01/31,Healthy
Jamie Benn,LW,DAL,1989/07/18,Healthy
Joel Kiviranta,LW,DAL,1996/03/23,Healthy
Mason Marchment,LW,DAL,1995/06/18,Healthy
Jason Robertson,LW,DAL,1999/07/22,Healthy
Denis Gurianov,RW,DAL,1997/06/07,Healthy
Jani Hakanpaa,D,DAL,1992/03/31,Healthy
Joel Hanley,D,DAL,1991/06/08,Healthy
Miro Heiskanen,D,DAL,1999/07/18,Healthy
Esa Lindell,D,DAL,1994/05/23,Healthy
Nils Lundkvist,D,DAL,2000/07/27,Healthy
Colin Miller,D,DAL,1992/10/29,Healthy
Ryan Suter,D,DAL,1985/01/21,Healthy
Jake Oettinger,G,DAL,1998/12/18,Healthy
Scott Wedgewood,G,DAL,1992/08/14,Healthy
Andrew Copp,C,DET,1994/07/08,Healthy
Robby Fabbri,C,DET,1996/01/22,Injured Reserve
Dylan Larkin,C,DET,1996/07/30,Healthy
Michael Rasmussen,C,DET,1999/04/17,Healthy
Oskar Sundqvist,C,DET,1994/03/23,Healthy
Pius Suter,C,DET,1996/05/24,Healthy
Joe Veleno,C,DET,2000/01/13,Healthy
Tyler Bertuzzi,LW,DET,1995/02/24,Healthy
Adam Erne,LW,DET,1995/04/20,Healthy
Dominik Kubalik,LW,DET,1995/08/21,Healthy
David Perron,LW,DET,1988/05/28,Healthy
Lucas Raymond,LW,DET,2002/03/28,Healthy
Elmer Soderblom,LW,DET,2001/07/05,Injured Reserve
Jonatan Berggren,RW,DET,2000/07/16,Healthy
Matt Luff,RW,DET,1997/05/05,Injured Reserve
Filip Zadina,RW,DET,1999/11/27,Injured Reserve
Ben Chiarot,D,DET,1991/05/09,Healthy
Robert Hagg,D,DET,1995/02/08,Healthy
Filip Hronek,D,DET,1997/11/02,Healthy
Gustav Lindstrom,D,DET,1998/10/20,Day-To-Day
Olli Maatta,D,DET,1994/08/22,Healthy
Jordan Oesterle,D,DET,1992/06/25,Healthy
Moritz Seider,D,DET,2001/04/06,Healthy
Magnus Hellberg,G,DET,1991/04/04,Healthy
Ville Husso,G,DET,1995/02/06,Healthy
Alex Nedeljkovic,G,DET,1996/01/07,Healthy
Leon Draisaitl,C,EDM,1995/10/27,Healthy
Mattias Janmark,C,EDM,1992/12/08,Healthy
Klim Kostin,C,EDM,1999/05/05,Healthy
Connor McDavid,C,EDM,1997/01/13,Healthy
Ryan McLeod,C,EDM,1999/09/21,Injured Reserve
Ryan Nugent-Hopkins,C,EDM,1993/04/12,Healthy
Derek Ryan,C,EDM,1986/12/29,Healthy
Devin Shore,C,EDM,1994/07/19,Healthy
Warren Foegele,LW,EDM,1996/04/01,Healthy
Dylan Holloway,LW,EDM,2001/09/23,Healthy
Zach Hyman,LW,EDM,1992/06/09,Healthy
Evander Kane,LW,EDM,1991/08/02,Injured Reserve
Jesse Puljujarvi,RW,EDM,1998/05/07,Healthy
Kailer Yamamoto,RW,EDM,1998/09/29,Injured Reserve
Tyson Barrie,D,EDM,1991/07/26,Healthy
Evan Bouchard,D,EDM,1999/10/20,Healthy
Philip Broberg,D,EDM,2001/06/25,Healthy
Cody Ceci,D,EDM,1993/12/21,Healthy
Brett Kulak,D,EDM,1994/01/06,Healthy
Ryan Murray,D,EDM,1993/09/27,Healthy
Darnell Nurse,D,EDM,1995/02/04,Healthy
Jack Campbell,G,EDM,1992/01/09,Healthy
Stuart Skinner,G,EDM,1998/11/01,Healthy
Aleksander Barkov,C,FLA,1995/09/02,Out
Sam Bennett,C,FLA,1996/06/20,Healthy
Nick Cousins,C,FLA,1993/07/20,Healthy
Zac Dalpe,C,FLA,1989/11/01,Healthy
Aleksi Heponiemi,C,FLA,1999/01/09,Healthy
Anton Lundell,C,FLA,2001/10/03,Healthy
Eetu Luostarinen,C,FLA,1998/09/02,Healthy
Sam Reinhart,C,FLA,1995/11/06,Healthy
Justin Sourdif,C,FLA,2002/03/24,Healthy
Eric Staal,C,FLA,1984/10/29,Healthy
Carter Verhaeghe,C,FLA,1995/08/14,Healthy
Colin White,C,FLA,1997/01/30,Healthy
Rudolfs Balcers,LW,FLA,1997/04/08,Injured Reserve
Anthony Duclair,LW,FLA,1995/08/26,Injured Reserve
Ryan Lomberg,LW,FLA,1994/12/09,Healthy
Matthew Tkachuk,LW,FLA,1997/12/11,Healthy
Patric Hornqvist,RW,FLA,1987/01/01,Healthy
Lucas Carlsson,D,FLA,1997/07/05,Healthy
Aaron Ekblad,D,FLA,1996/02/07,Healthy
Gustav Forsling,D,FLA,1996/06/12,Healthy
Radko Gudas,D,FLA,1990/06/05,Healthy
Matt Kiersted,D,FLA,1998/04/14,Healthy
Josh Mahura,D,FLA,1998/05/05,Healthy
Brandon Montour,D,FLA,1994/04/11,Healthy
Marc Staal,D,FLA,1987/01/13,Healthy
Sergei Bobrovsky,G,FLA,1988/09/20,Healthy
Spencer Knight,G,FLA,2001/04/19,Healthy
Jaret Anderson-Dolan,C,LA,1999/09/12,Healthy
Quinton Byfield,C,LA,2002/08/19,Healthy
Phillip Danault,C,LA,1993/02/24,Healthy
Adrian Kempe,C,LA,1996/09/13,Healthy
Anze Kopitar,C,LA,1987/08/24,Healthy
Rasmus Kupari,C,LA,2000/03/15,Healthy
Blake Lizotte,C,LA,1997/12/13,Healthy
Trevor Moore,C,LA,1995/03/31,Healthy
Gabriel Vilardi,C,LA,1999/08/16,Day-To-Day
Viktor Arvidsson,LW,LA,1993/04/08,Healthy
Kevin Fiala,LW,LA,1996/07/22,Healthy
Brendan Lemieux,LW,LA,1996/03/15,Injured Reserve
Samuel Fagemo,RW,LA,2000/03/14,Healthy
