Player,Position,Team,Birthday,InjuryStatus
Jake Sanderson,D,OTT,2002/07/08,Healthy
Artem Zub,D,OTT,1995/10/03,Healthy
Anton Forsberg,G,OTT,1992/11/27,Day-To-Day
Cam Talbot,G,OTT,1987/07/05,Healthy
Patrick Brown,C,PHI,1992/05/29,Healthy
Morgan Frost,C,PHI,1999/05/14,Healthy
Kevin Hayes,C,PHI,1992/05/08,Healthy
Tanner Laczynski,C,PHI,1997/06/01,Healthy
Scott Laughton,C,PHI,1994/05/30,Healthy
Zack MacEwen,C,PHI,1996/07/08,Healthy
Lukas Sedlak,C,PHI,1993/02/25,Healthy
Max Willman,C,PHI,1995/02/13,Healthy
Kieffer Bellows,LW,PHI,1998/06/10,Healthy
Noah Cates,LW,PHI,1999/02/05,Healthy
Nicolas Deslauriers,LW,PHI,1991/02/22,Healthy
Joel Farabee,LW,PHI,2000/02/25,Healthy
James van Riemsdyk,LW,PHI,1989/05/04,Injured Reserve
Wade Allison,RW,PHI,1997/10/14,Injured Reserve
Cam Atkinson,RW,PHI,1989/06/05,Out
Hayden Hodgson,RW,PHI,1996/03/02,Healthy
Travis Konecny,RW,PHI,1997/03/11,Injured Reserve
Olle Lycksell,RW,PHI,1999/08/24,Healthy
Owen Tippett,RW,PHI,1999/02/16,Healthy
Justin Braun,D,PHI,1987/02/10,Healthy
Tony DeAngelo,D,PHI,1995/10/24,Out
Ivan Provorov,D,PHI,1997/01/13,Healthy
Rasmus Ristolainen,D,PHI,1994/10/27,Healthy
Travis Sanheim,D,PHI,1996/03/29,Healthy
Nick Seeler,D,PHI,1993/06/03,Healthy
Egor Zamula,D,PHI,2000/03/30,Healthy
Carter Hart,G,PHI,1998/08/13,Healthy
Felix Sandstrom,G,PHI,1997/01/12,Healthy
Teddy Blueger,C,PIT,1994/08/15,Healthy
Jeff Carter,C,PIT,1985/01/01,Healthy
Sidney Crosby,C,PIT,1987/08/07,Healthy
Filip Hallander,C,PIT,2000/06/29,Healthy
Evgeni Malkin,C,PIT,1986/07/31,Healthy
Ryan Poehling,C,PIT,1999/01/03,Healthy
Jake Guentzel,LW,PIT,1994/10/06,Healthy
Danton Heinen,LW,PIT,1995/07/05,Healthy
Brock McGinn,LW,PIT,1994/02/02,Healthy
Drew O'Connor,LW,PIT,1998/06/09,Healthy
Jason Zucker,LW,PIT,1992/01/16,Healthy
Josh Archibald,RW,PIT,1992/10/06,Healthy
Kasperi Kapanen,RW,PIT,1996/07/23,Healthy
Rickard Rakell,RW,PIT,1993/05/05,Healthy
Bryan Rust,RW,PIT,1992/05/11,Healthy
Brian Dumoulin,D,PIT,1991/09/06,Healthy
Pierre-Olivier Joseph,D,PIT,1999/07/01,Healthy
Kris Letang,D,PIT,1987/04/24,Out
Jeff Petry,D,PIT,1987/12/09,Healthy
Marcus Pettersson,D,PIT,1996/05/08,Healthy
Chad Ruhwedel,D,PIT,1990/05/07,Healthy
Jan Rutta,D,PIT,1990/07/29,Healthy
Casey DeSmith,G,PIT,1991/08/13,Healthy
Tristan Jarry,G,PIT,1995/04/29,Healthy
Nick Bonino,C,SJ,1988/04/20,Healthy
Thomas Bordeleau,C,SJ,2002/01/03,Healthy
Logan Couture,C,SJ,1989/03/28,Healthy
Noah Gregor,C,SJ,1998/07/28,Healthy
Tomas Hertl,C,SJ,1993/11/12,Healthy
Luke Kunin,C,SJ,1997/12/04,Healthy
Steven Lorentz,C,SJ,1996/04/13,Healthy
Nico Sturm,C,SJ,1995/05/03,Injured Reserve
Alexander Barabanov,LW,SJ,1997/06/17,Healthy
William Eklund,LW,SJ,2002/10/12,Healthy
Jonah Gadjovich,LW,SJ,1998/10/12,Healthy
Oskar Lindblom,LW,SJ,1996/08/15,Healthy
Matt Nieto,LW,SJ,1992/11/05,Healthy
Evgeny Svechnikov,LW,SJ,1996/10/31,Healthy
Jeffrey Viel,LW,SJ,1997/01/28,Healthy
Kevin Labanc,RW,SJ,1995/12/12,Healthy
Timo Meier,RW,SJ,1996/10/08,Healthy
Matt Benning,D,SJ,1994/05/25,Healthy
Nick Cicek,D,SJ,2000/05/29,Healthy
Mario Ferraro,D,SJ,1998/09/17,Injured Reserve
Scott Harrington,D,SJ,1993/03/10,Healthy
Erik Karlsson,D,SJ,1990/05/31,Healthy
Nikolai Knyzhov,D,SJ,1998/03/20,Injured Reserve
Jaycob Megna,D,SJ,1992/12/10,Healthy
Markus Nutivaara,D,SJ,1994/06/06,Injured Reserve
Radim Simek,D,SJ,1992/09/20,Healthy
Marc-Edouard Vlasic,D,SJ,1987/03/30,Healthy
Aaron Dell,G,SJ,1989/05/04,Healthy
Kaapo Kahkonen,G,SJ,1996/08/16,Healthy
James Reimer,G,SJ,1988/03/15,Injured Reserve
Matty Beniers,C,SEA,2002/11/05,Healthy
Ryan Donato,C,SEA,1996/04/09,Healthy
Morgan Geekie,C,SEA,1998/07/20,Out
Yanni Gourde,C,SEA,1991/12/15,Healthy
Karson Kuhlman,C,SEA,1995/09/26,Healthy
Jaden Schwartz,C,SEA,1992/06/25,Healthy
Alex Wennberg,C,SEA,1994/09/22,Healthy
Shane Wright,C,SEA,2004/01/05,Healthy
Andre Burakovsky,LW,SEA,1995/02/09,Healthy
Jared McCann,LW,SEA,1996/05/31,Healthy
Brandon Tanev,LW,SEA,1991/12/31,Healthy
Oliver Bjorkstrand,RW,SEA,1995/04/10,Healthy
Jordan Eberle,RW,SEA,1990/05/15,Healthy
Daniel Sprong,RW,SEA,1997/03/17,Healthy
Will Borgen,D,SEA,1996/12/19,Healthy
Vince Dunn,D,SEA,1996/10/29,Healthy
Cale Fleury,D,SEA,1998/11/19,Healthy
Adam Larsson,D,SEA,1992/11/12,Healthy
Jamie Oleksiak,D,SEA,1992/12/21,Healthy
Justin Schultz,D,SEA,1990/07/06,Healthy
Carson Soucy,D,SEA,1994/07/27,Healthy
Joey Daccord,G,SEA,1996/08/19,Healthy
Philipp Grubauer,G,SEA,1991/11/25,Healthy
Martin Jones,G,SEA,1990/01/10,Healthy
Noel Acciari,C,STL,1991/12/01,Healthy
Ivan Barbashev,C,STL,1995/12/14,Healthy
Logan Brown,C,STL,1998/03/05,Injured Reserve
Jordan Kyrou,C,STL,1998/05/05,Healthy
Ryan O'Reilly,C,STL,1991/02/07,Healthy
Tyler Pitlick,C,STL,1991/11/01,Healthy
Brayden Schenn,C,STL,1991/08/22,Healthy
Robert Thomas,C,STL,1999/07/02,Day-To-Day
Pavel Buchnevich,LW,STL,1995/04/17,Healthy
Josh Leivo,LW,STL,1993/05/26,Healthy
Brandon Saad,LW,STL,1992/10/27,Healthy
Nathan Walker,LW,STL,1994/04/07,Healthy
Vladimir Tarasenko,RW,STL,1991/12/13,Healthy
Alexey Toropchenko,RW,STL,1999/06/25,Healthy
Robert Bortuzzo,D,STL,1989/03/18,Healthy
Justin Faulk,D,STL,1992/03/20,Healthy
Torey Krug,D,STL,1991/04/12,Healthy
Nick Leddy,D,STL,1991/03/20,Healthy
Niko Mikkola,D,STL,1996/04/27,Healthy
Colton Parayko,D,STL,1993/05/12,Healthy
Calle Rosen,D,STL,1994/02/02,Healthy
Jordan Binnington,G,STL,1993/07/11,Healthy
Thomas Greiss,G,STL,1986/01/29,Healthy
Ross Colton,C,TB,1996/09/11,Healthy
Vladislav Namestnikov,C,TB,1992/11/22,Healthy
Brayden Point,C,TB,1996/03/13,Healthy
Steven Stamkos,C,TB,1990/02/07,Healthy
Pierre-Edouard Bellemare,LW,TB,1985/03/06,Healthy
Brandon Hagel,LW,TB,1998/08/27,Healthy
Alex Killorn,LW,TB,1989/09/14,Healthy
Cole Koepke,LW,TB,1998/05/17,Healthy
Pat Maroon,LW,TB,1988/04/23,Healthy
Nicholas Paul,LW,TB,1995/03/20,Healthy
Nikita Kucherov,RW,TB,1993/06/17,Healthy
Corey Perry,RW,TB,1985/05/16,Healthy
Erik Cernak,D,TB,1997/05/28,Healthy
Ian Cole,D,TB,1989/02/21,Healthy
Haydn Fleury,D,TB,1996/07/08,Healthy
Cal Foote,D,TB,1998/12/13,Healthy
Victor Hedman,D,TB,1990/12/18,Healthy
Philippe Myers,D,TB,1997/01/25,Healthy
Nick Perbix,D,TB,1998/07/15,Healthy
Mikhail Sergachev,D,TB,1998/06/25,Healthy
Brian Elliott,G,TB,1985/04/09,Healthy
Andrei Vasilevskiy,G,TB,1994/07/25,Healthy
Zach Aston-Reese,C,TOR,1994/08/10,Healthy
Calle Jarnkrok,C,TOR,1991/09/25,Healthy
David Kampf,C,TOR,1995/01/12,Healthy
Alexander Kerfoot,C,TOR,1994/08/11,Healthy
Denis Malgin,C,TOR,1997/01/18,Healthy
Auston Matthews,C,TOR,1997/09/17,Healthy
John Tavares,C,TOR,1990/09/20,Healthy
Michael Bunting,LW,TOR,1995/09/17,Healthy
Kyle Clifford,LW,TOR,1991/01/13,Healthy
Pierre Engvall,LW,TOR,1996/05/31,Healthy
Nicholas Robertson,LW,TOR,2001/09/11,Healthy
Pontus Holmberg,RW,TOR,1999/03/09,Healthy
Mitchell Marner,RW,TOR,1997/05/05,Healthy
William Nylander,RW,TOR,1996/05/01,Healthy
TJ Brodie,D,TOR,1990/06/07,Injured Reserve
Mark Giordano,D,TOR,1983/10/03,Healthy
Justin Holl,D,TOR,1992/01/30,Healthy
Mac Hollowell,D,TOR,1998/09/26,Healthy
Filip Kral,D,TOR,1999/10/20,Healthy
Timothy Liljegren,D,TOR,1999/04/30,Healthy
Victor Mete,D,TOR,1998/06/07,Healthy
Jake Muzzin,D,TOR,1989/02/21,Injured Reserve
Morgan Rielly,D,TOR,1994/03/09,Injured Reserve
Rasmus Sandin,D,TOR,2000/03/07,Healthy
Conor Timmins,D,TOR,1998/09/18,Healthy
Erik Kallgren,G,TOR,1996/10/14,Healthy
Matt Murray,G,TOR,1994/05/25,Healthy
Ilya Samsonov,G,TOR,1997/02/22,Injured Reserve
Nils Aman,C,VAN,2000/02/07,Healthy
Sheldon Dries,C,VAN,1994/04/23,Healthy
Bo Horvat,C,VAN,1995/04/05,Healthy
Dakota Joshua,C,VAN,1996/05/15,Healthy
Curtis Lazar,C,VAN,1995/02/02,Healthy
J.T. Miller,C,VAN,1993/03/14,Healthy
Elias Pettersson,C,VAN,1998/11/12,Healthy
Jack Studnicka,C,VAN,1999/02/18,Injured Reserve
Nils Hoglander,LW,VAN,2000/12/20,Healthy
Andrei Kuzmenko,LW,VAN,1996/02/04,Healthy
Tanner Pearson,LW,VAN,1992/08/10,Injured Reserve
Brock Boeser,RW,VAN,1997/02/25,Healthy
Conor Garland,RW,VAN,1996/03/11,Healthy
William Lockwood,RW,VAN,1998/06/20,Healthy
Ilya Mikheyev,RW,VAN,1994/10/10,Healthy
Ethan Bear,D,VAN,1997/06/26,Healthy
Kyle Burroughs,D,VAN,1995/07/12,Healthy
Oliver Ekman-Larsson,D,VAN,1991/07/17,Healthy
Quinn Hughes,D,VAN,1999/10/14,Healthy
Noah Juulsen,D,VAN,1997/04/02,Healthy
Tyler Myers,D,VAN,1990/02/01,Healthy
Tucker Poolman,D,VAN,1993/06/08,Injured Reserve
Luke Schenn,D,VAN,1989/11/02,Healthy
Riley Stillman,D,VAN,1998/03/09,Healthy
Thatcher Demko,G,VAN,1995/12/08,Healthy
Spencer Martin,G,VAN,1995/06/08,Healthy
Michael Amadio,C,VGK,1996/05/13,Healthy
Paul Cotter,C,VGK,1999/11/16,Healthy
Jack Eichel,C,VGK,1996/10/28,Healthy
Brett Howden,C,VGK,1998/03/29,Out
William Karlsson,C,VGK,1993/01/08,Healthy
Phil Kessel,C,VGK,1987/10/02,Healthy
Jake Leschyshyn,C,VGK,1999/03/10,Healthy
Jonathan Marchessault,C,VGK,1990/12/27,Healthy
Nicolas Roy,C,VGK,1997/02/05,Healthy
Chandler Stephenson,C,VGK,1994/04/22,Healthy
William Carrier,LW,VGK,1994/12/20,Healthy
Keegan Kolesar,RW,VGK,1997/04/08,Healthy
Reilly Smith,RW,VGK,1991/04/01,Healthy
Mark Stone,RW,VGK,1992/05/13,Healthy
Nicolas Hague,D,VGK,1998/12/05,Healthy
Ben Hutton,D,VGK,1993/04/20,Healthy
Alec Martinez,D,VGK,1987/07/26,Healthy
Brayden McNabb,D,VGK,1991/01/21,Healthy
Alex Pietrangelo,D,VGK,1990/01/18,Day-To-Day
Shea Theodore,D,VGK,1995/08/03,Healthy
Zach Whitecloud,D,VGK,1996/11/28,Healthy
Adin Hill,G,VGK,1996/05/11,Healthy
Logan Thompson,G,VGK,1997/02/25,Healthy
Lars Eller,C,WSH,1989/05/08,Healthy
Evgeny Kuznetsov,C,WSH,1992/05/19,Healthy
Aliaksei Protas,C,WSH,2001/01/06,Healthy
Joe Snively,C,WSH,1996/01/01,Healthy
Dylan Strome,C,WSH,1997/03/07,Healthy
Marcus Johansson,LW,WSH,1990/10/06,Healthy
Beck Malenstyn,LW,WSH,1998/02/04,Injured Reserve
Sonny Milano,LW,WSH,1996/05/12,Healthy
Alex Ovechkin,LW,WSH,1985/09/17,Healthy
Conor Sheary,LW,WSH,1992/06/08,Healthy
Nicolas Aube-Kubel,RW,WSH,1996/05/10,Healthy
Connor Brown,RW,WSH,1994/01/14,Injured Reserve
Nic Dowd,RW,WSH,1990/05/27,Healthy
Garnet Hathaway,RW,WSH,1991/11/23,Healthy
Anthony Mantha,RW,WSH,1994/09/16,Healthy
T.J. Oshie,RW,WSH,1986/12/23,Healthy
Alexander Alexeyev,D,WSH,1999/11/15,Healthy
John Carlson,D,WSH,1990/01/10,Healthy
Martin Fehervary,D,WSH,1999/10/06,Healthy
Erik Gustafsson,D,WSH,1992/03/14,Healthy
Matt Irwin,D,WSH,1987/11/29,Healthy
Nick Jensen,D,WSH,1990/09/21,Healthy
Dmitry Orlov,D,WSH,1991/07/23,Injured Reserve
Trevor van Riemsdyk,D,WSH,1991/07/24,Healthy
Darcy Kuemper,G,WSH,1990/05/05,Healthy
Charlie Lindgren,G,WSH,1993/12/18,Healthy
Mason Appleton,C,WPG,1996/01/15,Injured Reserve
Morgan Barron,C,WPG,1998/12/02,Healthy
Michael Eyssimont,C,WPG,1996/09/09,Healthy
Sam Gagner,C,WPG,1989/08/10,Healthy
David Gustafsson,C,WPG,2000/04/11,Healthy
Jansen Harkins,C,WPG,1997/05/23,Healthy
Brad Lambert,C,WPG,2003/12/19,Healthy
Adam Lowry,C,WPG,1993/03/29,Healthy
Cole Perfetti,C,WPG,2002/01/01,Healthy
Mark Scheifele,C,WPG,1993/03/15,Healthy
Dominic Toninato,C,WPG,1994/03/09,Healthy
Kyle Connor,LW,WPG,1996/12/09,Healthy
Pierre-Luc Dubois,LW,WPG,1998/06/24,Healthy
Nikolaj Ehlers,LW,WPG,1996/02/14,Injured Reserve
Axel Jonsson-Fjallby,LW,WPG,1998/02/10,Healthy
Saku Maenalanen,RW,WPG,1994/05/29,Healthy
Blake Wheeler,RW,WPG,1986/08/31,Healthy
Kyle Capobianco,D,WPG,1997/08/13,Healthy
Dylan DeMelo,D,WPG,1993/05/01,Healthy
Brenden Dillon,D,WPG,1990/11/13,Healthy
Ville Heinola,D,WPG,2001/03/02,Healthy
Josh Morrissey,D,WPG,1995/03/28,Healthy
Neal Pionk,D,WPG,1995/07/29,Healthy
Dylan Samberg,D,WPG,1999/01/24,Healthy
Nate Schmidt,D,WPG,1991/07/16,Healthy
Logan Stanley,D,WPG,1998/05/26,Injured Reserve
Connor Hellebuyck,G,WPG,1993/05/19,Healthy
David Rittich,G,WPG,1992/08/19,Healthy
