Player,Position,Team,Birthday,InjuryStatus
Eli Apple,CB,CIN,1995/08/09,Healthy
Chidobe Awuzie,CB,CIN,1995/05/24,Injured Reserve
Joe Bachie,LB,CIN,1998/02/26,Healthy
Markus Bailey,LB,CIN,1997/03/07,Healthy
Jessie Bates III,S,CIN,1997/02/26,Healthy
Vonn Bell,S,CIN,1994/12/12,Healthy
Owen Carney,DE,CIN,1999/02/08,Healthy
Zach Carter,DT,CIN,1999/04/07,Healthy
Yusuf Corker,S,CIN,1998/12/26,Healthy
Domenique Davis,DT,CIN,1996/02/28,Healthy
Jalen Davis,CB,CIN,1996/02/02,Healthy
Akeem Davis-Gaither,LB,CIN,1997/09/21,Healthy
Tre Flowers,CB,CIN,1995/06/02,Healthy
Allan George,CB,CIN,1999/07/16,Healthy
Jeff Gunter,DE,CIN,1999/06/01,Healthy
Trey Hendrickson,DE,CIN,1994/12/05,Healthy
BJ Hill,DT,CIN,1995/04/20,Healthy
Dax Hill,S,CIN,2000/09/29,Healthy
Mike Hilton,CB,CIN,1994/03/09,Healthy
Sam Hubbard,DE,CIN,1995/06/29,Healthy
Clay Johnston,LB,CIN,1996/08/08,Healthy
Keandre Jones,LB,CIN,1997/09/24,Healthy
Joseph Ossai,DE,CIN,2000/04/12,Healthy
Germaine Pratt,LB,CIN,1996/05/21,Healthy
DJ Reader,DT,CIN,1994/07/01,Healthy
Cam Sample,DE,CIN,1999/09/20,Healthy
Tyler Shelvin,DT,CIN,1998/07/22,Healthy
Cam Taylor-Britt,CB,CIN,1999/10/15,Healthy
Marvell Tell III,CB,CIN,1996/08/02,Healthy
Michael Thomas,S,CIN,1990/03/17,Healthy
Jay Tufele,DT,CIN,1999/07/25,Healthy
Josh Tupou,DT,CIN,1994/05/02,Questionable
Brandon Wilson,S,CIN,1994/07/27,Out
Logan Wilson,LB,CIN,1996/07/08,Healthy
Cal Adomitis,LS,CIN,1998/07/09,Healthy
Drue Chrisman,P,CIN,1997/06/30,Healthy
Clark Harris,LS,CIN,1984/07/10,Injured Reserve
Kevin Huber,P,CIN,1985/07/16,Healthy
Evan McPherson,PK,CIN,1999/07/21,Healthy
Daylen Baldwin,WR,CLE,1999/11/24,Healthy
David Bell,WR,CLE,2000/12/14,Healthy
Joel Bitonio,G,CLE,1991/10/11,Healthy
Jacoby Brissett,QB,CLE,1992/12/11,Healthy
Pharaoh Brown,TE,CLE,1994/05/04,Healthy
Harrison Bryant,TE,CLE,1998/04/23,Healthy
Nick Chubb,RB,CLE,1995/12/27,Healthy
Jack Conklin,OT,CLE,1994/08/17,Healthy
Amari Cooper,WR,CLE,1994/06/18,Healthy
Myron Cunningham,OT,CLE,1997/10/21,Healthy
Dawson Deaton,G,CLE,1999/05/06,Injured Reserve
Michael Dunn,G,CLE,1994/08/28,Injured Reserve
Demetric Felton Jr.,RB,CLE,1998/07/16,Healthy
Drew Forbes,G,CLE,1997/01/18,Healthy
Jerome Ford,RB,CLE,1999/09/12,Healthy
Miller Forristall,TE,CLE,1998/03/11,Healthy
Hjalte Froholdt,G,CLE,1996/08/20,Healthy
Jakeem Grant Sr.,WR,CLE,1992/10/30,Injured Reserve
Joe Haeg,OT,CLE,1993/09/18,Injured Reserve
Mike Harley Jr.,WR,CLE,1997/12/13,Healthy
Nick Harris,C,CLE,1998/11/13,Injured Reserve
Will Holden,OT,CLE,1993/09/14,Out
Chris Hubbard,OT,CLE,1991/04/23,Healthy
James Hudson III,OT,CLE,1999/05/13,Healthy
Kareem Hunt,RB,CLE,1995/08/06,Healthy
Jesse James,TE,CLE,1994/06/04,Injured Reserve
D'Ernest Johnson,RB,CLE,1996/02/27,Healthy
John Kelly Jr.,RB,CLE,1996/10/04,Healthy
Greg Mancz,C,CLE,1992/04/23,Healthy
Zaire Mitchell-Paden,TE,CLE,1999/08/20,Healthy
Kellen Mond,QB,CLE,1999/06/22,Healthy
David Njoku,TE,CLE,1996/07/10,Healthy
Donovan Peoples-Jones,WR,CLE,1999/02/19,Healthy
Ethan Pocic,C,CLE,1995/08/05,Injured Reserve
Anthony Schwartz,WR,CLE,2000/09/05,Healthy
Wyatt Teller,G,CLE,1994/11/21,Healthy
Deshaun Watson,QB,CLE,1995/09/14,Healthy
Isaiah Weston,WR,CLE,1997/10/25,Injured Reserve
Tyrone Wheatley Jr.,OT,CLE,1997/02/04,Healthy
Jedrick Wills Jr.,OT,CLE,1999/05/17,Healthy
Michael Woods II,WR,CLE,2000/03/19,Healthy
D'Anthony Bell,S,CLE,1996/10/17,Healthy
Bubba Bolden,S,CLE,1999/05/28,Healthy
Mike Brown,S,CLE,1999/04/07,Healthy
Taven Bryan,DT,CLE,1996/03/11,Healthy
Jermaine Carter,LB,CLE,1995/01/14,Healthy
Jadeveon Clowney,DE,CLE,1993/02/14,Healthy
Grant Delpit,S,CLE,1998/09/20,Healthy
Jordan Elliott,DT,CLE,1997/11/23,Healthy
Martin Emerson Jr.,CB,CLE,2000/09/27,Healthy
Tony Fields II,LB,CLE,1999/06/18,Healthy
Myles Garrett,DE,CLE,1995/12/29,Healthy
Thomas Graham Jr.,CB,CLE,1999/06/26,Healthy
A.J. Green,CB,CLE,1998/06/09,Questionable
Ronnie Harrison Jr.,S,CLE,1997/04/18,Healthy
John Johnson III,S,CLE,1995/12/19,Healthy
Deion Jones,LB,CLE,1994/11/04,Healthy
Sam Kamara,LB,CLE,1997/12/21,Healthy
Jordan Kunaszyk,LB,CLE,1996/10/15,Healthy
Herb Miller,CB,CLE,1997/11/11,Healthy
Greg Newsome II,CB,CLE,2000/05/18,Questionable
Chris Odom,LB,CLE,1994/09/16,Injured Reserve
Jeremiah Owusu-Koramoah,LB,CLE,1999/11/04,Healthy
Roderick Perry II,DT,CLE,1997/12/03,Healthy
Jacob Phillips,LB,CLE,1999/04/01,Injured Reserve
Isaac Rochell,DE,CLE,1995/04/22,Healthy
Ben Stille,DT,CLE,1997/11/12,Healthy
Sione Takitaki,LB,CLE,1995/06/08,Healthy
Isaiah Thomas,DE,CLE,1998/12/03,Healthy
Tommy Togiai,DT,CLE,1999/09/19,Healthy
Anthony Walker Jr.,LB,CLE,1995/08/08,Injured Reserve
Denzel Ward,CB,CLE,1997/04/28,Healthy
Stephen Weatherly,DE,CLE,1994/03/19,Injured Reserve
Greedy Williams,CB,CLE,1997/12/03,Healthy
Perrion Winfrey,DT,CLE,2000/08/15,Healthy
Chase Winovich,DE,CLE,1995/04/19,Healthy
Alex Wright,DE,CLE,2000/09/05,Healthy
Corey Bojorquez,P,CLE,1996/09/13,Healthy
Charley Hughlett,LS,CLE,1990/05/16,Healthy
Cade York,PK,CLE,2001/01/27,Healthy
Isaac Alarcon,OT,DAL,1998/07/27,Questionable
Josh Ball,OT,DAL,1998/05/15,Healthy
Tyler Biadasz,C,DAL,1997/11/20,Healthy
Noah Brown,WR,DAL,1996/01/06,Healthy
Ian Bunting,TE,DAL,1996/02/10,Injured Reserve
Antonio Callaway,WR,DAL,1997/01/09,Healthy
Aviante Collins,OT,DAL,1993/04/21,Healthy
Malik Davis,RB,DAL,1998/11/26,Healthy
Rico Dowdle,RB,DAL,1998/06/14,Injured Reserve
Dontario Drummond,WR,DAL,1997/08/22,Healthy
Ezekiel Elliott,RB,DAL,1995/07/22,Healthy
Matt Farniok,G,DAL,1997/09/26,Injured Reserve
Simi Fehoko,WR,DAL,1997/11/05,Injured Reserve
Jake Ferguson,TE,DAL,1999/01/18,Healthy
Michael Gallup,WR,DAL,1996/03/04,Healthy
Seth Green,TE,DAL,1998/02/14,Healthy
Will Grier,QB,DAL,1995/04/03,Healthy
Peyton Hendershot,TE,DAL,1999/04/23,Healthy
Brock Hoffman,C,DAL,1999/07/02,Healthy
Dennis Houston,WR,DAL,1999/04/24,Healthy
CeeDee Lamb,WR,DAL,1999/04/08,Healthy
Alec Lindstrom,C,DAL,1998/07/07,Out
Zack Martin,G,DAL,1990/11/20,Healthy
Connor McGovern,G,DAL,1997/11/03,Healthy
Sean McKeon,TE,DAL,1997/12/28,Healthy
George Moore,G,DAL,1996/07/31,Healthy
Qadree Ollison,RB,DAL,1996/09/08,Healthy
Jason Peters,OT,DAL,1982/01/22,Healthy
Tony Pollard,RB,DAL,1997/04/30,Healthy
Dak Prescott,QB,DAL,1993/07/29,Healthy
Cooper Rush,QB,DAL,1993/11/21,Healthy
Dalton Schultz,TE,DAL,1996/07/11,Healthy
Dakoda Shepley,OT,DAL,1994/12/27,Healthy
Brandon Smith,WR,DAL,1998/12/10,Healthy
Tyler Smith,OT,DAL,2001/04/03,Healthy
Tyron Smith,OT,DAL,1990/12/12,Injured Reserve
Terence Steele,OT,DAL,1997/06/04,Healthy
Alex Taylor,OT,DAL,1997/04/29,Healthy
Jalen Tolbert,WR,DAL,1999/02/27,Healthy
KaVontae Turpin,WR,DAL,1996/08/02,Healthy
Matt Waletzko,OT,DAL,1999/12/15,Injured Reserve
James Washington,WR,DAL,1996/04/02,Injured Reserve
Dorance Armstrong,DE,DAL,1997/06/10,Healthy
Anthony Barr,LB,DAL,1992/03/18,Questionable
Tarell Basham,DE,DAL,1994/03/18,Healthy
Markquese Bell,S,DAL,1999/01/06,Healthy
DaRon Bland,CB,DAL,1999/07/12,Healthy
Quinton Bohanna,DT,DAL,1999/03/16,Out
Devante Bond,LB,DAL,1993/07/03,Injured Reserve
Anthony Brown,CB,DAL,1993/12/15,Healthy
Damone Clark,LB,DAL,2000/06/28,Healthy
Jabril Cox,LB,DAL,1998/04/16,Healthy
Tyler Coyle,S,DAL,1998/11/15,Healthy
Trevon Diggs,CB,DAL,1998/09/20,Healthy
Dante Fowler Jr.,DE,DAL,1994/08/03,Healthy
Neville Gallimore,DT,DAL,1997/01/17,Healthy
Luke Gifford,LB,DAL,1995/08/28,Healthy
Chauncey Golston,DE,DAL,1998/02/10,Healthy
C.J. Goodwin,CB,DAL,1990/02/04,Healthy
Johnathan Hankins,DT,DAL,1992/03/30,Questionable
Devin Harper,LB,DAL,1998/05/13,Injured Reserve
Malik Hooker,S,DAL,1996/04/02,Healthy
Malik Jefferson,LB,DAL,1996/11/15,Healthy
Kelvin Joseph,CB,DAL,2000/11/11,Questionable
Jayron Kearse,S,DAL,1994/02/11,Healthy
DeMarcus Lawrence,DE,DAL,1992/04/28,Healthy
Jourdan Lewis,CB,DAL,1995/08/31,Injured Reserve
Takkarist McKinley,LB,DAL,1995/11/02,Healthy
Israel Mukuamu,S,DAL,1999/11/28,Healthy
Osa Odighizuwa,DT,DAL,1998/08/13,Healthy
Micah Parsons,LB,DAL,1999/05/26,Healthy
Kendall Sheffield,CB,DAL,1996/05/30,Healthy
Isaac Taylor-Stuart,CB,DAL,1999/10/25,Injured Reserve
Leighton Vander Esch,LB,DAL,1996/02/08,Healthy
Carlos Watkins,DE,DAL,1993/12/05,Healthy
Sam Williams,DE,DAL,1999/03/31,Healthy
Donovan Wilson,S,DAL,1995/02/21,Healthy
Nahshon Wright,CB,DAL,1998/09/23,Healthy
Bryan Anger,P,DAL,1988/10/06,Healthy
Brett Maher,PK,DAL,1989/11/21,Healthy
Jake McQuaide,LS,DAL,1987/07/07,Injured Reserve
Matt Overton,LS,DAL,1985/07/06,Healthy
Calvin Anderson,OT,DEN,1996/03/25,Healthy
Quinn Bailey,OT,DEN,1995/10/18,Healthy
Andrew Beck,TE,DEN,1996/05/15,Healthy
Victor Bolden,WR,DEN,1995/04/04,Healthy
Garett Bolles,OT,DEN,1992/05/27,Injured Reserve
Mike Boone,RB,DEN,1995/06/30,Injured Reserve
Tyrie Cleveland,WR,DEN,1997/09/20,Healthy
Tom Compton,G,DEN,1989/05/10,Healthy
Damarea Crockett,RB,DEN,1997/12/22,Injured Reserve
Lloyd Cushenberry III,C,DEN,1997/11/22,Injured Reserve
Kaden Davis,WR,DEN,1998/09/25,Healthy
Christian DiLauro,OT,DEN,1994/11/11,Healthy
Greg Dulcich,TE,DEN,2000/03/26,Healthy
Chase Edmonds,RB,DEN,1996/04/13,Injured Reserve
Cameron Fleming,OT,DEN,1993/09/03,Healthy
Graham Glasgow,G,DEN,1992/08/19,Healthy
KJ Hamler,WR,DEN,1999/07/08,Questionable
Kendall Hinton,WR,DEN,1997/02/19,Healthy
Jerry Jeudy,WR,DEN,1999/04/24,Questionable
Brandon Johnson,WR,DEN,1998/07/26,Healthy
Marlon Mack,RB,DEN,1996/03/07,Healthy
Tyreik McAllister,RB,DEN,1998/04/07,Healthy
Quinn Meinerz,G,DEN,1998/11/15,Healthy
Latavius Murray,RB,DEN,1990/01/18,Healthy
Netane Muti,G,DEN,1999/03/27,Healthy
Albert Okwuegbunam,TE,DEN,1998/04/25,Healthy
Tim Patrick,WR,DEN,1993/11/23,Injured Reserve
Dalton Risner,G,DEN,1995/07/13,Healthy
Brett Rypien,QB,DEN,1996/07/09,Healthy
Eric Saubert,TE,DEN,1994/05/09,Healthy
Will Sherman,OT,DEN,1999/05/27,Healthy
Courtland Sutton,WR,DEN,1995/10/10,Healthy
Eric Tomlinson,TE,DEN,1992/04/22,Healthy
Casey Tucker,OT,DEN,1995/09/26,Injured Reserve
Billy Turner,G,DEN,1991/10/17,Injured Reserve
Jalen Virgil,WR,DEN,1998/07/13,Healthy
Montrell Washington,WR,DEN,1999/03/16,Healthy
Luke Wattenberg,C,DEN,1997/09/10,Healthy
Javonte Williams,RB,DEN,2000/04/25,Injured Reserve
Russell Wilson,QB,DEN,1988/11/29,Healthy
McTelvin Agim,DT,DEN,1997/09/25,Healthy
Christopher Allen,LB,DEN,1998/08/12,Injured Reserve
Dakota Allen,LB,DEN,1995/11/02,Questionable
Essang Bassey,CB,DEN,1998/09/12,Healthy
Nik Bonitto,LB,DEN,1999/09/26,Healthy
Baron Browning,LB,DEN,1999/02/19,Healthy
Jonathon Cooper,LB,DEN,1998/01/08,Healthy
Ronald Darby,CB,DEN,1994/01/02,Injured Reserve
Randy Gregory,LB,DEN,1992/11/23,Injured Reserve
Jonas Griffith,LB,DEN,1997/01/27,Injured Reserve
Anthony Harris,S,DEN,1991/10/09,Healthy
Jonathan Harris,DT,DEN,1996/08/04,Questionable
Matt Henningsen,DE,DEN,1999/07/09,Healthy
Faion Hicks,CB,DEN,1998/09/02,Healthy
Kareem Jackson,S,DEN,1988/04/10,Healthy
Josey Jewell,LB,DEN,1994/12/25,Healthy
D.J. Jones,DT,DEN,1995/01/19,Healthy
Dre'Mont Jones,DE,DEN,1997/01/05,Healthy
Jonathan Kongbo,LB,DEN,1996/03/19,Healthy
P.J. Locke,S,DEN,1997/02/12,Healthy
Jacob Martin,LB,DEN,1995/12/11,Healthy
Damarri Mathis,CB,DEN,1999/04/12,Healthy
Zach McCloud,LB,DEN,1998/04/22,Healthy
Ja'Quan McMillian,CB,DEN,2000/06/04,Healthy
Michael Ojemudia,CB,DEN,1997/09/12,Healthy
Aaron Patrick,LB,DEN,1996/12/20,Injured Reserve
Darius Phillips,CB,DEN,1996/06/26,Healthy
Mike Purcell,DT,DEN,1991/04/20,Healthy
Justin Simmons,S,DEN,1993/11/19,Healthy
Alex Singleton,LB,DEN,1993/12/07,Healthy
Caden Sterns,S,DEN,1999/11/02,Injured Reserve
Justin Strnad,LB,DEN,1996/08/21,Healthy
Pat Surtain II,CB,DEN,2000/04/14,Healthy
Delarrin Turner-Yell,S,DEN,1999/12/16,Healthy
Eyioma Uwazurike,DE,DEN,1998/05/06,Healthy
Ray Wilborn,LB,DEN,1997/04/01,Healthy
DeShawn Williams,DT,DEN,1992/12/29,Healthy
K'Waun Williams,CB,DEN,1991/07/12,Out
Jacob Bobenmoyer,LS,DEN,1997/05/28,Healthy
Mitchell Fraboni,LS,DEN,1996/10/28,Injured Reserve
Brandon McManus,PK,DEN,1991/07/25,Healthy
Corliss Waitman,P,DEN,1995/07/21,Healthy
Maurice Alexander,WR,DET,1997/01/10,Questionable
Kayode Awosika,G,DET,1998/10/27,Healthy
Greg Bell,RB,DET,1998/06/16,Injured Reserve
Trinity Benson,WR,DET,1997/01/16,Injured Reserve
Stanley Berryhill,WR,DET,1998/06/09,Healthy
Tim Boyle,QB,DET,1994/10/03,Healthy
Evan Brown,C,DET,1996/09/16,Questionable
Jason Cabinda,FB,DET,1996/03/17,Healthy
Quintez Cephus,WR,DET,1998/04/01,Injured Reserve
DJ Chark,WR,DET,1996/09/23,Healthy
Taylor Decker,OT,DET,1994/08/23,Healthy
Obinna Eze,OT,DET,1998/06/12,Healthy
Jared Goff,QB,DET,1994/10/14,Healthy
Garrett Griffin,TE,DET,1994/03/04,Healthy
Jonah Jackson,G,DET,1997/02/05,Questionable
Justin Jackson,RB,DET,1996/04/22,Healthy
Jermar Jefferson,RB,DET,2000/04/15,Healthy
Josh Johnson,WR,DET,1999/08/10,Healthy
Tom Kennedy,WR,DET,1996/07/29,Healthy
Tommy Kraemer,G,DET,1998/04/16,Injured Reserve
James Mitchell,TE,DET,1999/08/11,Healthy
Matt Nelson,OT,DET,1995/12/19,Healthy
Darrin Paulo,OT,DET,1997/03/06,Healthy
Ross Pierschbacher,G,DET,1995/05/05,Healthy
Frank Ragnow,C,DET,1996/05/17,Healthy
Kalif Raymond,WR,DET,1994/08/08,Healthy
Craig Reynolds,RB,DET,1996/06/15,Injured Reserve
Josh Reynolds,WR,DET,1995/02/16,Healthy
Penei Sewell,OT,DET,2000/10/09,Healthy
Dan Skipper,OT,DET,1994/09/20,Healthy
Amon-Ra St. Brown,WR,DET,1999/10/24,Healthy
Logan Stenberg,G,DET,1997/03/18,Healthy
Nate Sudfeld,QB,DET,1993/10/07,Healthy
D'Andre Swift,RB,DET,1999/01/14,Healthy
Halapoulivaati Vaitai,G,DET,1993/06/16,Injured Reserve
Jamaal Williams,RB,DET,1995/04/03,Healthy
Jameson Williams,WR,DET,2001/03/26,Out
Brock Wright,TE,DET,1998/11/27,Healthy
Brandon Zylstra,WR,DET,1993/03/25,Healthy
Shane Zylstra,TE,DET,1996/11/16,Healthy
Alex Anzalone,LB,DET,1994/09/22,Healthy
Derrick Barnes,LB,DET,1999/05/29,Healthy
Chris Board,LB,DET,1995/07/23,Healthy
Brady Breeze,S,DET,1997/10/09,Healthy
Michael Brockers,DE,DET,1990/12/21,Healthy
Austin Bryant,LB,DET,1996/11/12,Healthy
Isaiah Buggs,DE,DET,1996/08/24,Healthy
John Cominsky,DE,DET,1995/11/22,Healthy
Jarrad Davis,LB,DET,1994/11/16,Healthy
DeShon Elliott,S,DET,1997/04/21,Healthy
Charles Harris,LB,DET,1995/03/06,Injured Reserve
Will Harris,S,DET,1995/12/19,Healthy
James Houston,LB,DET,1998/11/16,Healthy
Mike Hughes,CB,DET,1997/02/11,Healthy
Aidan Hutchinson,DE,DET,2000/08/09,Healthy
Jerry Jacobs,CB,DET,1997/09/26,Healthy
Benito Jones,DT,DET,1997/11/27,Healthy
Kerby Joseph,S,DET,2000/11/14,Healthy
Chase Lucas,CB,DET,1997/03/04,Healthy
Alim McNeill,DT,DET,2000/05/11,Healthy
Ifeatu Melifonwu,CB,DET,1999/05/02,Healthy
C.J. Moore,S,DET,1995/12/15,Healthy
Jeff Okudah,CB,DET,1999/02/02,Questionable
Julian Okwara,LB,DET,1997/12/27,Questionable
Romeo Okwara,LB,DET,1995/06/17,Out
Levi Onwuzurike,DE,DET,1998/03/02,Injured Reserve
Amani Oruwariye,CB,DET,1996/02/09,Healthy
AJ Parker,CB,DET,1998/02/15,Healthy
Josh Paschal,DE,DET,1999/12/17,Questionable
Anthony Pittman,LB,DET,1996/11/24,Healthy
Bobby Price,CB,DET,1998/04/25,Injured Reserve
Malcolm Rodriguez,LB,DET,1999/03/29,Healthy
Saivion Smith,CB,DET,1997/11/05,Out
Demetrius Taylor,DE,DET,1999/05/27,Healthy
Tracy Walker III,S,DET,1995/02/01,Injured Reserve
Josh Woods,LB,DET,1996/07/01,Healthy
Michael Badgley,PK,DET,1995/07/28,Healthy
Scott Daly,LS,DET,1994/02/07,Healthy
Sam Ficken,PK,DET,1992/12/14,Healthy
Jack Fox,P,DET,1996/09/01,Healthy
David Bakhtiari,OT,GB,1991/09/30,Healthy
Randall Cobb,WR,GB,1990/08/22,Healthy
Jeff Cotton,WR,GB,1997/04/17,Healthy
Tyler Davis,TE,GB,1997/04/02,Healthy
Josiah Deguara,TE,GB,1997/02/14,Healthy
AJ Dillon,RB,GB,1998/05/02,Healthy
Romeo Doubs,WR,GB,2000/04/13,Questionable
Danny Etling,QB,GB,1994/07/22,Healthy
Travis Fulgham,WR,GB,1995/09/13,Healthy
Tyler Goodson,RB,GB,2000/11/10,Healthy
Nick Guggemos,TE,GB,1995/12/17,Healthy
Jake Hanson,C,GB,1997/04/29,Injured Reserve
Elgton Jenkins,G,GB,1995/12/26,Healthy
Aaron Jones,RB,GB,1994/12/02,Healthy
Caleb Jones,OT,GB,1999/02/10,Out
Allen Lazard,WR,GB,1995/12/11,Healthy
Marcedes Lewis,TE,GB,1984/05/19,Healthy
Jordan Love,QB,GB,1998/11/02,Healthy
Josh Myers,C,GB,1998/07/16,Healthy
Royce Newman,OT,GB,1997/08/17,Healthy
Yosh Nijman,OT,GB,1996/01/02,Healthy
Sean Rhyan,OT,GB,2000/09/15,Suspension
Aaron Rodgers,QB,GB,1983/12/02,Questionable
Jon Runyan,G,GB,1997/08/08,Healthy
Patrick Taylor,RB,GB,1998/04/29,Healthy
Luke Tenuta,OT,GB,1999/09/01,Healthy
Zach Tom,G,GB,1999/03/26,Healthy
Robert Tonyan,TE,GB,1994/04/30,Healthy
Samori Toure,WR,GB,1998/03/24,Healthy
Rasheed Walker,OT,GB,2000/02/13,Healthy
Sammy Watkins,WR,GB,1993/06/14,Healthy
Christian Watson,WR,GB,1999/05/12,Healthy
Dede Westbrook,WR,GB,1993/11/21,Healthy
Juwann Winfree,WR,GB,1996/09/04,Healthy
Micah Abernathy,S,GB,1997/02/10,Healthy
Jaire Alexander,CB,GB,1997/02/09,Healthy
Adrian Amos,S,GB,1993/04/29,Healthy
Corey Ballentine,CB,GB,1996/04/13,Healthy
Krys Barnes,LB,GB,1998/04/02,Healthy
De'Vondre Campbell,LB,GB,1993/07/01,Questionable
Tariq Carpenter,S,GB,1998/12/28,Healthy
Kenny Clark,DT,GB,1995/10/04,Healthy
Rasul Douglas,CB,GB,1995/08/29,Healthy
Kingsley Enagbare,LB,GB,2000/01/18,Healthy
Jonathan Ford,DT,GB,1998/09/29,Healthy
Rudy Ford,S,GB,1994/11/01,Healthy
Innis Gaines,S,GB,1998/08/29,Healthy
Tipa Galeai,LB,GB,1997/02/26,Injured Reserve
Jonathan Garvin,LB,GB,1999/07/28,Healthy
Rashan Gary,LB,GB,1997/12/03,Injured Reserve
LaDarius Hamilton,LB,GB,1998/01/18,Healthy
Jack Heflin,DT,GB,1998/03/08,Healthy
Justin Hollins,LB,GB,1996/01/15,Healthy
Shemar Jean-Charles,CB,GB,1998/06/20,Questionable
Dallin Leavitt,S,GB,1994/08/08,Healthy
Dean Lowry,DE,GB,1994/06/09,Healthy
Isaiah McDuffie,LB,GB,1999/07/21,Healthy
Keisean Nixon,CB,GB,1997/06/22,Healthy
Jarran Reed,DT,GB,1992/12/16,Healthy
Darnell Savage,S,GB,1997/07/30,Questionable
Vernon Scott,S,GB,1997/09/11,Injured Reserve
T.J. Slaton,DT,GB,1997/10/03,Healthy
Chris Slayton,DT,GB,1996/08/01,Healthy
Preston Smith,LB,GB,1992/11/17,Healthy
Eric Stokes,CB,GB,1999/03/01,Injured Reserve
DQ Thomas,LB,GB,1998/12/04,Healthy
Kiondre Thomas,CB,GB,1998/02/07,Healthy
Quay Walker,LB,GB,2000/05/08,Healthy
Tim Ward,LB,GB,1997/08/11,Healthy
Eric Wilson,LB,GB,1994/09/26,Healthy
Devonte Wyatt,DT,GB,1998/03/31,Healthy
Ramiz Ahmed,PK,GB,1995/07/27,Healthy
Jack Coco,LS,GB,1998/10/09,Healthy
Mason Crosby,PK,GB,1984/09/03,Healthy
Pat O'Donnell,P,GB,1991/02/22,Healthy
Jordan Akins,TE,HOU,1992/04/19,Healthy
Kyle Allen,QB,HOU,1996/03/08,Healthy
Darius Anderson,RB,HOU,1997/09/10,Injured Reserve
Alex Bachman,WR,HOU,1996/05/29,Healthy
Eno Benjamin,RB,HOU,1999/04/13,Healthy
Justin Britt,C,HOU,1991/05/29,Out
Rex Burkhead,RB,HOU,1990/07/02,Questionable
A.J. Cann,G,HOU,1991/10/23,Healthy
Nico Collins,WR,HOU,1999/03/19,Healthy
Brandin Cooks,WR,HOU,1993/09/25,Healthy
Davion Davis,WR,HOU,1996/10/23,Healthy
Austin Deculus,OT,HOU,1999/03/12,Healthy
Phillip Dorsett,WR,HOU,1993/01/05,Healthy
Jeff Driskel,QB,HOU,1993/04/23,Healthy
Royce Freeman,RB,HOU,1996/02/24,Healthy
Kenyon Green,G,HOU,2001/03/15,Healthy
Charlie Heck,OT,HOU,1996/11/20,Healthy
O.J. Howard,TE,HOU,1994/11/19,Healthy
Tytus Howard,OT,HOU,1996/05/23,Healthy
Brevin Jordan,TE,HOU,2000/07/16,Healthy
Justin McCray,G,HOU,1992/05/31,Healthy
John Metchie III,WR,HOU,2000/07/18,Out
Davis Mills,QB,HOU,1998/10/21,Healthy
Chris Moore,WR,HOU,1993/06/16,Healthy
Jimmy Morrissey,C,HOU,1998/06/09,Healthy
Dare Ogunbowale,RB,HOU,1994/05/04,Healthy
Dameon Pierce,RB,HOU,2000/02/19,Healthy
Scott Quessenberry,C,HOU,1995/03/23,Healthy
Teagan Quitoriano,TE,HOU,2000/03/15,Healthy
Amari Rodgers,WR,HOU,1999/09/23,Healthy
Mason Schreck,TE,HOU,1993/11/04,Healthy
Laremy Tunsil,OT,HOU,1994/08/02,Healthy
Tre'Vour Wallace-Simms,G,HOU,1997/09/25,Healthy
Mario Addison,DE,HOU,1987/09/06,Healthy
Grayland Arnold,S,HOU,1997/09/04,Injured Reserve
Thomas Booker IV,DT,HOU,1999/11/11,Healthy
Blake Cashman,LB,HOU,1996/05/10,Healthy
Maliek Collins,DT,HOU,1995/04/08,Healthy
Michael Dwumfour,DE,HOU,1998/01/01,Healthy
Cobi Francis,S,HOU,1998/09/06,Healthy
Rasheem Green,DE,HOU,1997/05/15,Healthy
Jonathan Greenard,DE,HOU,1997/05/25,Injured Reserve
Troy Hairston,DE,HOU,1998/12/08,Healthy
Jake Hansen,LB,HOU,1998/06/19,Healthy
Christian Harris,LB,HOU,2001/01/16,Questionable
Demone Harris,DE,HOU,1995/12/30,Healthy
Neville Hewitt,LB,HOU,1993/04/06,Healthy
Kurt Hinish,DT,HOU,1999/04/27,Healthy
Jerry Hughes,DE,HOU,1988/08/31,Healthy
Buddy Johnson,LB,HOU,1999/02/27,Healthy
Desmond King II,CB,HOU,1994/12/14,Healthy
Christian Kirksey,LB,HOU,1992/08/31,Healthy
Roy Lopez,DT,HOU,1997/08/07,Healthy
Eric Murray,S,HOU,1994/01/07,Healthy
Steven Nelson,CB,HOU,1993/01/22,Healthy
Ogbonnia Okoronkwo,LB,HOU,1995/04/24,Healthy
Jonathan Owens,S,HOU,1995/07/22,Healthy
Kevin Pierre-Louis,LB,HOU,1991/10/07,Injured Reserve
Jalen Pitre,S,HOU,1999/06/03,Healthy
Will Redmond,CB,HOU,1993/12/28,Healthy
Jalen Reeves-Maybin,LB,HOU,1995/01/31,Healthy
Derek Rivers,DE,HOU,1994/05/09,Injured Reserve
D'Angelo Ross,CB,HOU,1993/10/29,Healthy
Tremon Smith,CB,HOU,1996/07/20,Healthy
M.J. Stewart,S,HOU,1995/09/16,Healthy
Derek Stingley Jr.,CB,HOU,2001/06/20,Questionable
Tavierre Thomas,CB,HOU,1996/03/11,Healthy
Garret Wallow,LB,HOU,1999/01/25,Healthy
