Player,Position,Team,Birthday,InjuryStatus
Tyler Vrabel,OT,ATL,2000/06/24,Out
Elijah Wilkinson,OT,ATL,1995/02/10,Injured Reserve
Damien Williams,RB,ATL,1992/04/03,Injured Reserve
Olamide Zaccheaus,WR,ATL,1997/07/23,Healthy
Dee Alford,CB,ATL,1997/11/05,Healthy
Troy Andersen,LB,ATL,1999/04/23,Healthy
Abdullah Anderson,DT,ATL,1996/01/24,Healthy
Cornell Armstrong,CB,ATL,1995/09/22,Healthy
Quinton Bell,LB,ATL,1996/05/09,Healthy
Amani Bledsoe,DE,ATL,1998/02/06,Healthy
Lorenzo Carter,LB,ATL,1995/12/10,Healthy
Jalen Dalton,DT,ATL,1997/08/04,Questionable
Matt Dickerson,DT,ATL,1995/11/09,Healthy
Arnold Ebiketie,DE,ATL,1999/01/24,Healthy
Dorian Etheridge,LB,ATL,1998/11/21,Healthy
Rashaan Evans,LB,ATL,1995/11/08,Healthy
Rashad Fenton,CB,ATL,1997/02/17,Healthy
Mike Ford,CB,ATL,1995/08/04,Healthy
Ta'Quon Graham,DT,ATL,1998/12/01,Injured Reserve
Richie Grant,S,ATL,1997/11/09,Healthy
Darren Hall,CB,ATL,2000/05/02,Healthy
Matt Hankins,CB,ATL,1999/02/22,Healthy
Erik Harris,S,ATL,1990/04/02,Healthy
Jaylinn Hawkins,S,ATL,1997/08/25,Healthy
Casey Hayward,CB,ATL,1989/09/09,Injured Reserve
Timmy Horne,DT,ATL,1997/10/25,Healthy
Grady Jarrett,DE,ATL,1993/04/28,Healthy
Jaleel Johnson,DT,ATL,1994/07/12,Healthy
Nick Kwiatkoski,LB,ATL,1993/05/26,Healthy
Nathan Landman,LB,ATL,1998/11/19,Healthy
Dylan Mabin,CB,ATL,1997/09/14,Healthy
DeAngelo Malone,LB,ATL,1999/07/12,Healthy
Jovante Moffatt,S,ATL,1996/12/25,Healthy
Adetokunbo Ogundeji,LB,ATL,1998/10/09,Healthy
Isaiah Oliver,CB,ATL,1996/09/30,Healthy
John Reid,CB,ATL,1996/05/15,Healthy
Kobe Smith,DT,ATL,1998/06/23,Healthy
